precinctCode,precinct,election,percentVoting
4,AWENDAW,vhgen16,71.28
8,CHRIST CHURCH,vhgen16,71.95
10,ISLE OF PALMS 1A,vhgen16,71.32
11,ISLE OF PALMS 1B,vhgen16,69.78
12,ISLE OF PALMS 1C,vhgen16,77.56
32,SULLIVANS ISLAND,vhgen16,74.37
100,MCCLELLANVILLE,vhgen16,66.91
102,DEER PARK 1A,vhgen16,51.38
103,DEER PARK 1B,vhgen16,53.04
104,DEER PARK 2A,vhgen16,52.81
105,DEER PARK 2B,vhgen16,51.84
106,DEER PARK 2C,vhgen16,64.16
107,DEER PARK 3,vhgen16,58.05
110,LINCOLNVILLE,vhgen16,63.52
132,LADSON,vhgen16,55.96
173,EDISTO ISLAND,vhgen16,76.15
174,WADMALAW ISLAND 1,vhgen16,73.04
175,WADMALAW ISLAND 2,vhgen16,73.5
180,KIAWAH ISLAND,vhgen16,76.05
181,TOWN OF SEABROOK,vhgen16,75.99
184,FOLLY BEACH 1,vhgen16,63.93
185,FOLLY BEACH 2,vhgen16,69.11
201,CHARLESTON 1,vhgen16,74.2
202,CHARLESTON 2,vhgen16,67.82
203,CHARLESTON 3,vhgen16,68.87
204,CHARLESTON 4,vhgen16,56.15
205,CHARLESTON 5,vhgen16,57.67
206,CHARLESTON 6,vhgen16,50.83
207,CHARLESTON 7,vhgen16,46.69
208,CHARLESTON 8,vhgen16,52.76
209,CHARLESTON 9,vhgen16,50.84
210,CHARLESTON 10,vhgen16,33.8
211,CHARLESTON 11,vhgen16,43.41
212,CHARLESTON 12,vhgen16,53.54
213,CHARLESTON 13,vhgen16,56.6
214,CHARLESTON 14,vhgen16,46.42
215,CHARLESTON 15,vhgen16,40.59
216,CHARLESTON 16,vhgen16,58.5
217,CHARLESTON 17,vhgen16,59.68
218,CHARLESTON 18,vhgen16,55.7
219,CHARLESTON 19,vhgen16,66.55
220,CHARLESTON 20,vhgen16,68.37
221,CHARLESTON 21,vhgen16,61.65
301,MT PLEASANT 1,vhgen16,71.95
302,MT PLEASANT 2,vhgen16,57.64
303,MT PLEASANT 3,vhgen16,70.24
304,MT PLEASANT 4,vhgen16,67.48
305,MT PLEASANT 5,vhgen16,73.01
306,MT PLEASANT 6,vhgen16,63.47
307,MT PLEASANT 7,vhgen16,64.96
308,MT PLEASANT 8,vhgen16,68.27
309,MT PLEASANT 9,vhgen16,70.39
310,MT PLEASANT 10,vhgen16,77.3
311,MT PLEASANT 11,vhgen16,65.07
312,MT PLEASANT 12,vhgen16,67.21
313,MT PLEASANT 13,vhgen16,58.52
314,MT PLEASANT 14,vhgen16,57.66
315,MT PLEASANT 15,vhgen16,76.41
